Date,Max.,Min.,Morn,Eve.,Daily,Rainy Days ,PE,,,,,
07.02.19,27,16,81,48,,,3.47,,,,,
08.02.19,23.5,8.5,52,37,,,2.6,,,,,
09.02.19,24,7,54,35,,,2.6,,,,,
10.02.19,24,6.5,51,54,,,3.47,,,,,
11.02.19,24,4.5,56,42,,,3.8,,,,,
12.02.19,27,9,55,54,,,14.8,,,,,
13.02.19,30,11,51,58,,,3.47,,,,,
14.02.19,29,13,73,56,,,2.6,,,,,
15.02.19,29,15,84,53,,,1.74,,,,,
16.02.19,28,10.5,77,53,,,2.6,,,,,
17.02.19,29,8.5,56,44,,,3.47,,,,,
18.02.19,30,9,75,45,,,3.47,,,,,
19.02.19,30,10.5,77,39,,,3.47,,,,,
20.02.19,31,12,56,37,,,3.47,,,,,
21.02.19,33,17,65,29,,,2.6,,,,,
22.02.19,31,15.5,53,52,,,3.47,,,,,
23.02.19,28,15,82,44,,,5.21,,,,,
24.02.19,29,15,74,52,,,4.34,,,,,
25.02.19,29,13,58,35,,,4.34,,,,,
26.02.19,31.5,10,63,36,,,4.77,,,,,
27.02.19,26.5,10,59,49,,,5.21,,,,,
28.02.19,25,12,67,53,,,4.34,,,,,
Average,33,4.5,83.56,28.82,0,0,0,,,,,
01.03.19,25,10,42,45,,,5.21,,,,,
02.03.19,25.5,9,45,32,,,3.47,,,,,
03.03.19,29,10,78,70,13.5,1,0,,,,,
04.03.19,28,10.5,82,54,,,3.47,,,,,
05.03.19,28,13.5,64,36,,,3.91,,,,,
06.03.19,26.5,14.5,54,17,,,4.34,,,,,
07.03.19,28.5,12,50,37,,,5.21,,,,,
08.03.19,30.5,12,44,28,,,4.77,,,,,
09.03.19,31,12,57,25,,,5.21,,,,,
10.03.19,33,12.5,59,37,,,5.21,,,,,
11.03.19,35,13,62,29,,,5.64,,,,,
12.03.19,34,13,--,22,,,4.34,,,,,
13.03.19,31.8,14.5,62,39,,,5.21,,,,,
14.03.19,28,13,69,46,,,4.34,,,,,
15.03.19,27,14,68,54,,,5.21,,,,,
16.03.19,26,15.5,50,33,,,6.08,,,,,
17.03.19,32,15,45,43,,,5.21,,,,,
18.03.19,32.5,14.5,66,32,,,6.08,,,,,
19.03.19,35,13.5,46,26,,,6.08,,,,,
20.03.19,36.5,14.5,36,36,,,6.94,,,,,
21.03.19,35,17,65,17,,,6.94,,,,,
22.03.19,34,13,62,24,,,6.94,,,,,
23.03.19,34.5,15,38,32,,,7.81,,,,,
24.03.19,35,15,28,21,,,7.81,,,,,
25.03.19,36,15,44,15,,,7.81,,,,,
26.03.19,37.5,15,39,22,,,6.94,,,,,
27.03.19,36.5,15,41,22,,,7.81,,,,,
28.03.19,36.5,16,34,14,,,7.81,,,,,
29.03.19,37,17,38,13,,,8.68,,,,,
30.03.19,40.5,17.5,33,17,,,8.68,,,,,
31.03.19,41,18,37,15,,,7.81,,,,,
Average,41,9,82.01,13.35,13.5,1,0,,,,,
01.04.19,41.5,18,,,,,8.68,,,,,
02.04.19,39.5,18,,,,,7.81,,,,,
03.04.19,40,17,,,,,7.81,,,,,
04.04.19,41,19,,,,,7.81,,,,,
05.04.19,41.5,23,,,,,8.68,,,,,
06.04.19,41.5,21.5,,,2.2,1,6.94,,,,,
07.04.19,41,18.5,,,,,7.81,,,,,
08.04.19,40,20.5,,,2,1,7.81,,,,,
09.04.19,41,21,,,,,8.68,,,,,
10.04.19,41,19,,,,,11.28,,,,,
11.04.19,43,23,,,,,12.15,,,,,
12.04.19,42.5,23,,,,,12.15,,,,,
13.04.19,42.5,23,,,,,11.28,,,,,
14.04.19,42.5,23,,,,,11.28,,,,,
15.04.19,42.5,24,,,,,10.42,,,,,
16.04.19,41,26,,,,,11.28,,,,,
17.04.19,34,19.5,,,7.2,1,0,,,,,
18.04.19,35,18,,,,,6.94,,,,,
19.04.19,38,19,,,,,9.55,,,,,
20.04.19,40,19,,,,,10.42,,,,,
21.04.19,41,20,,,,,10.42,,,,,
22.04.19,40,22,,,,,11.28,,,,,
23.04.19,41.5,23.5,,,,,12.15,,,,,
24.04.19,42.5,24,,,,,11.28,,,,,
25.04.19,44,25,,,,,11.28,,,,,
26.04.19,45,26.5,,,,,11.28,,,,,
27.04.19,45.2,24.5,,,,,10.42,,,,,
28.04.19,45,24,,,,,13.02,,,,,
29.04.19,46,24,,,,,12.15,,,,,
30.04.19,44,26,,,,,12.15,,,,,
Average,46,17,0,0,11.4,3,9.81,,,,, 
1.05.19,42.5,24,,,,,11.28,,,,,
2.05.19,42,24,,,,,12.15,,,,,
3.05.19,42.5,24,,,,,11.28,,,,,
4.05.19,41.5,25,,,,,12.15,,,,,
5.05.19,41,24,,,,,11.28,,,,,
6.05.19,40.5,26,,,,,12.15,,,,,
7.05.19,43,27,,,,,11.28,,,,,
8.05.19,43,25.5,,,,,13.02,,,,,
9.05.19,43,23,,,,,13.02,,,,,
10.05.19,40,22,,,,,12.15,,,,,
11.05.19,41,25,,,,,11.28,,,,,
12.05.19,42,26,,,,,10.42,,,,,
13.05.19,40,24,,,,,5.21,,,,,
14.05.19,40.5,23,,,,,10.42,,,,,
15.05.19,41.5,23.5,,,,,11.28,,,,,
16.05.19,42,26,,,,,12.15,,,,,
17.05.19,42,26.5,,,,,12.15,,,,,
18.05.19,41,25,,,,,12.15,,,,,
19.05.19,40.5,25,,,,,11.28,,,,,
20.05.19,41,27,,,,,11.28,,,,,
21.05.19,42.5,26,,,,,9.55,,,,,
22.05.19,44.5,27,,,,,9.55,,,,,
23.05.19,44,27.5,,,,,13.02,,,,,
24.05.19,43.5,28,,,,,12.15,,,,,
25.05.19,42,27.5,,,,,13.02,,,,,
26.05.19,43.5,27,,,,,13.02,,,,,
27.05.19,45,27.5,,,,,13.02,,,,,
28.05.19,43.5,27,,,,,13.02,,,,,
29.05.19,45,27,,,,,13.89,,,,,
30.05.19,44,27.5,,,,,11.28,,,,,
31.05.19,30,29,,,,,10.42,,,,,
Average,45,22,0,0,0,0,11.23,,,,,
1.06.19,44,28,,,0,,11.28,,,,,
2.06.19,44,30.5,,,0,,11.28,,,,,
3.06.19,46,29,,,0,,12.15,,,,,
4.06.19,44.5,30,,,0,,11.28,,,,,
5.06.19,45,30,,,0,,13.02,,,,,
6.06.19,45.5,29.5,,,0,,13.02,,,,,
7.06.19,45,30,,,0,,13.89,,,,,
8.06.19,44.5,29,,,0,,13.02,,,,,
9.06.19,44,29.5,,,0,,13.02,,,,,
10.06.19,44.5,29.5,,,0,,13.89,,,,,
11.06.19,44.2,30,,,0,,13.02,,,,,
12.06.19,44.5,31,,,0,,10.42,,,,,
13.06.19,41.5,32.5,,,0,,10.42,,,,,
14.06.19,41.5,29,,,0,,11.28,,,,,
15.06.19,38,27,,,16.4,1,-7.81,,,,,
16.06.19,38.5,27.5,,,0,,8.68,,,,,
17.06.19,39,27.5,,,0,,8.68,,,,,
18.06.19,39,29,,,0,,11.28,,,,,
19.06.19,35.1,29,,,0,,13.02,,,,,
20.06.19,38,24.5,,,0.4,1,8.68,,,,,
21.06.19,40.5,28,,,0,,6.94,,,,,
22.06.19,35.5,27,,,0.2,1,13.02,,,,,
23.06.19,38,28,,,1.2,1,6.94,,,,,
24.06.19,36,28.5,,,0,,8.68,,,,,
25.06.19,38,26,,,0,,8.68,,,,,
26.06.19,40.5,28,,,2.8,1,4.34,,,,,
27.06.19,38.2,27.8,,,0,,8.68,,,,,
28.06.19,36,24,,,0,,6.94,,,,,
29.06.19,35,24.5,,,36.6,1,-8.68,,,,,
30.06.19,32,24,,,0.6,1,3.47,,,,,
Average,46,24,0,0,58.2,7,9.09,,,,,
1.07.19,32,21.5,,,0,0,1.74,,,,,
2.07.19,28.2,24,,,3.2,1,3.47,,,,,
3.07.19,27.2,23,,,58.4,1,-43.4,,,,,
4.07.19,26,26,,,6.6,1,-2.17,,,,,
5.07.19,25.5,23.5,,,1.4,1,-1.3,,,,,
6.07.19,25,23.5,,,15.3,1,-11.72,,,,,
7.07.19,26,24,,,76,1,-52.08,,,,,
8.07.19,29,24,,,0,0,0,,,,,
9.07.19,33,24,,,0,0,0,,,,,
10.07.19,32.5,24,,,0,0,1.74,,,,,
11.07.19,33.5,25,,,0,0,6.94,,,,,
12.07.19,34.5,25.5,,,0,0,5.21,,,,,
13.07.19,35,24.8,,,0,0,5.21,,,,,
14.07.19,34,25,,,0,0,5.21,,,,,
15.07.19,34.5,25,,,0,0,4.34,,,,,
16.07.19,36.5,25,,,0,0,5.21,,,,,
17.07.19,36,25.5,,,0,0,6.94,,,,,
18.07.19,38.5,26,,,0,0,9.55,,,,,
19.07.19,30.2,27.5,,,0,0,9.55,,,,,
20.07.19,34,26,,,0,0,-0.87,,,,,
21.07.19,34.5,25,,,0,0,-5.21,,,,,
22.07.19,35,26,,,0,0,3.47,,,,,
23.07.19,38.5,28,,,0,0,8.68,,,,,
24.07.19,36.5,28,,,0,0,5.21,,,,,
25.07.19,34.5,27.5,,,0,0,2.6,,,,,
26.07.19,32,24.5,,,43.4,1,-37.32,,,,,
27.07.19,27,24,,,25,1,-27.78,,,,,
28.07.19,25.5,24,,,90.8,1,0,,,,,
29.07.19,28,23.5,,,64.4,1,0,,,,,
30.07.19,27,24,,,47,1,0,,,,,
31.07.19,24.5,22,,,133.6,1,0,,,,,
Average,38.5,22,0,0,565.1,12,-3.12,,,,,
01.08.19,25,23,,,29.1,1,-30.38,,,,,
02.08.19,28,23.5,,,3.8,1,0,,,,,
03.08.19,26,24,,,93.2,1,0,,,,,
04.08.19,28,24.5,,,23.8,1,-21.7,,,,,
05.08.19,28,25,,,0,0,0,,,,,
06.08.19,27,25,,,0,0,0,,,,,
07.08.19,27,24.5,,,32.8,1,-30.38,,,,,
08.08.19,26,24.5,,,7.6,1,-7.81,,,,,
09.08.19,26.5,23,,,40,1,-39.06,,,,,
10.08.19,27,25,,,2.4,1,-1.74,,,,,
11.08.19,28,24,,,0.2,1,1.74,,,,,
12.08.19,27,24,,,0,0,1.74,,,,,
13.08.19,26,24,,,5.8,1,-2.6,,,,,
14.08.19,25.5,23,,,8.7,1,-5.64,,,,,
15.08.19,26,22,,,45.4,1,0,,,,,
16.08.19,27,23,,,16.2,1,-16.49,,,,,
17.08.19,27.5,23,,,0,0,0,,,,,
18.08.19,26,25,,,0,0,3.47,,,,,
19.08.19,27.5,23,,,16.6,1,-10.42,,,,,
20.08.19,28,24.5,,,0,0,0.87,,,,,
21.08.19,28,23,,,17,1,-11.28,,,,,
22.08.19,27,22,,,9.8,1,-6.08,,,,,
23.08.19,25.5,21,,,24.1,1,-17.36,,,,,
24.08.19,26,22.5,,,6.6,1,-5.21,,,,,
25.08.19,25,23,,,53.4,1,-43.4,,,,,
26.08.19,27,22.5,,,32.4,1,-26.04,,,,,
27.08.19,25,22,,,26.8,1,-20.83,,,,,
28.08.19,27,22,,,0,0,0.43,,,,,
29.08.19,29,23.5,,,0,0,0.43,,,,,
30.08.19,28.5,23.5,,,1.4,1,0.43,,,,,
31.08.19,27,22.5,,,13,1,-7.38,,,,,
Average,29,21,0,0,510.1,23,-10,,,,,
01.09.19,27.5,24,,,1.1,1,-0.43,,,,,
02.09.19,29,24,,,0,0,0,,,,,
03.09.19,26,23,,,71.2,1,0,,,,,
04.09.19,25,21,,,40.5,1,0,,,,,
05.09.19,28,21,,,34.2,1,-32.98,,,,,
06.09.19,30,25,,,0,0,0,,,,,
07.09.19,30.5,21,,,1.2,1,1.74,,,,,
08.09.19,28,21.5,,,15.9,1,0,,,,,
09.09.19,29,22.5,,,67,1,0,,,,,
10.09.19,29,22,,,27.5,1,-27.78,,,,,
11.09.19,25,23,,,30.1,1,-29.51,,,,,
12.09.19,25.5,22,,,104.2,1,0,,,,,
13.09.19,26,21,,,92.8,1,0,,,,,
14.09.19,28,21.5,,,7.9,1,-8.68,,,,,
15.09.19,28,22,,,1.5,1,-1.74,,,,,
16.09.19,27.5,21.5,,,5.6,1,-5.21,,,,,
17.09.19,26,21,,,14.8,1,-16.49,,,,,
18.09.19,27.5,21,,,44.4,1,-44.27,,,,,
19.09.19,27,22,,,3.8,1,-5.21,,,,,
20.09.19,30,24,,,5.6,1,-2.6,,,,,
21.09.19,30.5,24.5,,,0,0,1.74,,,,,
22.09.19,31,22,,,27,1,-17.36,,,,,
23.09.19,32,22.5,,,0,0,0.87,,,,,
24.09.19,31,24.5,,,0,0,0.87,,,,,
25.09.19,31.5,23,,,0,0,0.87,,,,,
26.09.19,29,22.5,,,0,0,1.74,,,,,
27.09.19,28,22,,,4.8,1,1.74,,,,,
28.09.19,29,21,,,34.6,1,-26.04,,,,,
29.09.19,29.5,21.5,,,3.2,1,-0.87,,,,,
30.09.19,29.5,24,,,0,0,1.74,,,,,
Average,32,21,0,0,638.9,22,-6.93,,,,,
01.10.19,30,21.5,,,0,0,3.47,,,,,
02.10.19,30.5,22,,,3.2,1,-5.21,,,,,
03.10.19,31,23,,,1.4,1,-1.74,,,,,
04.10.19,31.5,20.5,,,0,0,0,,,,,
05.10.19,31,22,,,0,0,3.47,,,,,
06.10.19,31.5,21.4,,,0,0,4.34,,,,,
07.10.19,30,21,,,0,0,5.21,,,,,
08.10.19,29.5,20.5,,,0,0,5.21,,,,,
09.10.19,29,20,,,0,0,5.21,,,,,
10.10.19,29,19.5,,,0,0,3.91,,,,,
11.10.19,29.5,20,,,0,0,3.47,,,,,
12.10.19,29,20,,,6,1,1.74,,,,,
13.10.19,29,18.5,,,0,0,3.04,,,,,
14.10.19,28.5,16.5,,,0,0,2.17,,,,,
15.10.19,29,17,,,0,0,4.34,,,,,
16.10.19,29,16.5,,,0,0,5.21,,,,,
17.10.19,30.5,17,,,0,0,4.77,,,,,
18.10.19,31.5,17.5,,,0,0,5.21,,,,,
19.10.19,29.5,21,,,0,0,4.77,,,,,
20.10.19,28,21.5,,,2.8,1,-3.47,,,,,
21.10.19,27.5,20.5,,,1.2,1,-2.17,,,,,
22.10.19,27,21.5,,,1,1,2.17,,,,,
23.10.19,27.5,16.5,,,1,1,1.74,,,,,
24.10.19,28.5,18,,,0,0,3.91,,,,,
25.10.19,29,19,,,0,0,2.17,,,,,
26.10.19,28,18,,,0,0,1.74,,,,,
27.10.19,28.5,18.5,,,0,0,1.74,,,,,
28.10.19,30,20.5,,,0,0,3.47,,,,,
29.10.19,30.5,19.5,,,0,0,5.21,,,,,
30.10.19,32.5,19.5,,,0,0,4.34,,,,,
31.10.19,32.5,19,,,0,0,6.08,,,,,
Average,32.5,16.5,0,0,16.6,7,2.76,,,,,
01.11.19,28.5,19,,,0,0,5.21,,,,,
02.11.19,26,19.5,,,0,0,5.21,,,,,
03.11.19,27.5,19,,,0,0,4.34,,,,,
04.11.19,28.5,18.5,,,0,0,5.21,,,,,
05.11.19,29.5,17.5,,,0,0,4.34,,,,,
06.11.19,31.5,17.5,,,0,0,4.77,,,,,
07.11.19,30,21.5,,,0,0,4.34,,,,,
08.11.19,29,18.5,,,1.8,1,0.87,,,,,
09.11.19,30.5,17.5,,,0,0,3.47,,,,,
10.11.19,29,16.5,,,0,0,4.77,,,,,
11.11.19,28.5,15.5,,,0,0,4.34,,,,,
12.11.19,27.5,15.5,,,0,0,4.77,,,,,
13.11.19,27,15,,,0,0,4.77,,,,,
14.11.19,27.5,15,,,0,0,4.34,,,,,
15.11.19,26.5,14.5,,,0,0,4.34,,,,,
16.11.19,27,14.5,,,0,0,4.34,,,,,
17.11.19,26,12,,,0,0,3.91,,,,,
18.11.19,27,11.5,,,0,0,3.47,,,,,
19.11.19,26.5,12,,,0,0,5.64,,,,,
20.11.19,25,11.5,,,0,0,3.47,,,,,
21.11.19,29,12,,,0,0,2.6,,,,,
22.11.19,30,13.5,,,0,0,2.6,,,,,
23.11.19,30.5,15,,,0,0,3.47,,,,,
24.11.19,30,16.5,,,0,0,3.91,,,,,
25.11.19,30,16.5,,,0,0,4.34,,,,,
26.11.19,30,15,,,0,0,3.91,,,,,
27.11.19,29.5,14.5,,,0,0,4.34,,,,,
28.11.19,29,14,,,0,0,3.47,,,,,
29.11.19,30,15,,,0,0,4.34,,,,,
30.11.19,30,15,,,0,0,4.77,,,,,
Average,31.5,11.5,0,0,1.8,1,4.12,,,,,
01.12.19,30.5,15,,,0,0,5.64,,,,,
02.12.19,30.5,15.5,,,0,0,5.21,,,,,
03.12.19,30,16.5,,,0,0,4.77,,,,,
04.12.19,29,13,,,0,0,3.47,,,,,
05.12.19,26.5,14,,,0,0,3.47,,,,,
06.12.19,26,10,,,0,0,2.6,,,,,
07.12.19,26.5,12,,,0,0,3.47,,,,,
08.12.19,26.5,11.5,,,0,0,3.47,,,,,
09.12.19,27,11.5,,,0,0,3.47,,,,,
10.12.19,26.5,12,,,0,0,3.91,,,,,
11.12.19,28.5,11.5,,,0,0,3.04,,,,,
12.12.19,29.5,15.5,,,0,0,3.47,,,,,
13.12.19,29,15,,,8,1,0,,,,,
14.12.19,28,13,,,0,0,1.74,,,,,
15.12.19,22.5,13.5,,,0,0,1.74,,,,,
16.12.19,20,13,,,0,0,1.74,,,,,
17.12.19,22,11,,,0,0,1.74,,,,,
18.12.19,21.5,10,,,0,0,1.74,,,,,
19.12.19,24,10,,,0,0,1.74,,,,,
20.12.19,26,10.5,,,0,0,3.47,,,,,
21.12.19,27,11,,,0,0,3.47,,,,,
22.12.19,26,11,,,0,0,3.47,,,,,
23.12.19,25,12,,,0,0,3.04,,,,,
24.12.19,26.5,13.5,,,0,0,3.91,,,,,
25.12.19,25,15,,,0,0,3.04,,,,,
26.12.19,23,14,,,0,0,3.47,,,,,
27.12.19,20.5,8,,,0,0,3.04,,,,,
28.12.19,21.5,6.5,,,0,0,3.47,,,,,
29.12.19,22.5,5.5,,,0,0,3.47,,,,,
30.12.19,22,6,,,0,0,3.04,,,,,
31.12.19,17.5,6.5,,,1.8,1,2.6,,,,,
Average,30.5,5.5,8,0,9.8,2,3.09,,,,,
