Date,Max.,Min.,Morn,Eve.,Daily,PE
6.03.08,34,14,84,59,0,5.65
7.03.08,34,13,88,67,0,4.34
8.03.08,33,14,89,56,0,4.78
9.03.08,33,14,83,53,0,5.22
10.03.08,33,16,80,56,0,5.22
11.03.08,32,17,80,60,0,3.91
12.03.08,31,18,80,58,0,4.78
13.03.08,32,17,82,60,0,5.65
14.03.08,33,16,80,58,0,4.78
15.03.08,31,16,80,64,0,4.34
16.03.08,33,17,82,67,0,3.91
17.03.08,33,18,80,65,0,5.65
18.03.08,33,19,70,53,0,5.65
19.03.08,36,18,72,59,0,6.96
20.03.08,36,18,71,43,0,6.09
21.03.08,36,17,90,47,0,5.22
22.03.08,36,17,91,51,0,4.78
23.03.08,34,16,90,60,0,4.34
24.03.08,30,18,71,51,0,4.78
25.03.08,34,20,81,57,0,5.22
26.03.08,35,19,73,50,0,5.65
27.03.08,36,20,91,48,0,4.34
28.03.08,37,18,72,51,0,5.22
29.03.08,38,20,69,48,0,6.09
30.03.08,38,19,77,60,0,6.96
31.03.08,38,19,69,51,0,6.96
,33.84,16.39,80.94,56.55,0,5.15
1.04.08,32,18,69,50,0,6.96
2.04.08,34,20,73,50,0,6.96
3.04.08,36,21,81,51,0,8.69
4.04.08,34,19,69,48,0,10.34
5.04.08,34,18,73,60,0,8.69
6.04.08,32,18,77,51,0,6.96
7.04.08,34,17,57,50,0,7.83
8.04.08,34,19,70,47,0,7.83
9.04.08,36,17,51,47,0,6.96
10.04.08,37,21,64,48,0,10.34
11.04.08,40,25,71,45,0,10.86
12.04.08,40,26,74,38,0,8.69
13.04.08,40,29,73,39,0,9.56
14.04.08,41,30,69,38,0,10.43
15.04.08,40,28,71,33,0,9.99
16.04.08,41,29,80,38,0,11.3
17.04.08,40,22,52,33,0,10.43
18.04.08,39,19,66,35,0,9.99
19.04.08,39,19,76,33,0,8.69
20.04.08,40,18,57,34,0,9.56
21.04.08,40,21,47,30,0,8.69
22.04.08,40,19,57,35,0,10.43
23.04.08,41,25,52,32,0,8.69
24.04.08,41,21,55,35,0,9.56
25.04.08,42,23,73,33,0,10.86
26.04.08,43,21,50,17,0,9.56
27.04.08,43,21,50,22,0,10.43
28.04.08,43,25,70,21,0,12.17
29.04.08,42,24,68,32,0,8.69
30.04.08,42,28,70,20,0,12.17
,38.67,22.03,65.5,38.17,0,9.41
1.05.08,43,26,73,20,0,8.69
2.05.08,42,25,74,24,0,11.3
3.05.08,42,24,80,20,0,11.3
4.05.08,40,27,52,31,0,13.03
5.05.08,41,26,68,32,0,12.17
6.05.08,41,25,63,32,0,13.03
7.05.08,38,27,69,31,0,11.3
8.05.08,39,26,73,35,0,9.56
9.05.08,37,22,68,32,0,11.3
10.05.08,39,26,78,30,0,8.69
11.05.08,39,25,77,29,0,8.69
12.05.08,39,25,61,33,0,11.3
13.05.08,41,26,73,33,0,11.3
14.05.08,41,27,66,32,5.1,3.48
15.05.08,38,23,48,27,0,8.69
16.05.08,40,25,73,33,0,12.17
17.05.08,40,28,68,22,0,13.9
18.05.08,40,24,71,35,0,15.64
19.05.08,40,27,67,33,0,12.17
20.05.08,40,27,71,31,0,13.03
21.05.08,39,26,71,40,0,15.64
22.05.08,42,27,73,29,0,8.69
23.05.08,39,28,71,33,0,11.3
24.05.08,39,29,66,29,0,8.69
25.05.08,34,24,81,29,3.2,11.3
26.05.08,41,24,56,33,0,12.17
27.05.08,41,26,68,35,0,13.03
28.05.08,41,27,60,32,0,9.56
29.05.08,41,27,60,32,0,13.03
30.05.08,42,28,66,31,0,10.86
31.05.08,41,28,80,38,0,10.43
,40,25.97,68.55,30.84,8.3,11.14
1.06.08,40,28,65,35,0,11.3
2.06.08,38,26,65,40,0,10.86
3.06.08,38,27,50,31,0,12.17
4.06.08,40,26,66,33,0,13.03
5.06.08,41,30,76,28,0,12.6
6.06.08,39,29,66,29,0,14.77
7.06.08,35,26,63,38,0,13.9
8.06.08,38,25,66,47,0,13.03
9.06.08,38,26,73,40,0,14.77
10.06.08,39,27,85,42,0,10.43
11.06.08,35,27,81,71,17.2,9.6
12.06.08,32,24,84,47,5.8,2.61
13.06.08,30,25,92,82,0,6.96
14.06.08,32,25,79,65,0,7.83
15.06.08,32,25,97,66,0,8.69
16.06.08,31,26,85,82,0,10.43
17.06.08,31,25,92,65,0,6.96
18.06.08,31,26,77,52,5.4,3.48
19.06.08,32,25,96,71,6.6,5.22
20.06.08,29,25,92,87,0,6.96
21.06.08,27,24,92,71,26.2,1.64
22.06.08,27,24,84,78,6.2,5.22
23.06.08,25,24,91,82,4.2,3.46
24.06.08,33,25,84,52,31,0.45
25.06.08,30,24,96,78,5.6,3.46
26.06.08,31,25,95,72,7,2.61
27.06.08,32,25,95,71,15.6,1.48
28.06.08,29,24,92,82,11.6,8.69
29.06.08,30,25,84,65,1.6,2.17
30.06.08,31,25,92,82,6,6.96
,33.2,25.6,81.83,59.47,150,7.72
1.07.08,32,25,82,72,0,6.09
2.07.08,32,26,84,63,0,6.09
3.07.08,32,25,96,71,0.8,1.74
4.07.08,29,25,87,65,0,3.48
5.07.08,31,25,84,66,0,4.34
6.07.08,31,26,85,68,0,3.48
7.07.08,30,26,85,68,0,4.34
8.07.08,31,26,85,100,0,3.49
9.07.08,24,24,95,78,14.8,2.97
10.07.08,29,24,95,100,38.4,2.8
11.07.08,29,24,91,71,55.6,3.52
12.07.08,29,24,91,70,13.6,2.61
13.07.08,28,24,95,71,0,3.04
14.07.08,29,25,85,69,0,3.48
15.07.08,29,25,92,68,0,3.48
16.07.08,30,26,92,72,0,3.04
17.07.08,31.6,25,92,67,0,5.22
18.07.08,31,24,88,76,0,5.65
19.07.08,31,24,92,73,0,4.34
20.07.08,32,26,90,72,0,5.22
21.07.08,31,26,84,67,0,6.09
22.07.08,32,25,92,64,0,6.09
23.07.08,32,27,84,67,0,6.09
24.07.08,33,27,85,73,0,5.22
25.07.08,31,25,92,67,8.2,4.72
26.07.08,31,25,96,81,23,1.25
27.07.08,29,24,100,92,8.6,5.99
28.07.08,26,25,93,70,11.6,5.51
29.07.08,30,25,92,97,10.4,0.83
30.07.08,26,25,87,89,0.4,0
31.07.08,29,25,95,87,35,0.2
Average,30.02,25.1,89.87,74.65,220.4,3.88
1.08.08,25,24,96,92,65.6,8.18
2.08.08,24,23,100,80,0,2.61
3.08.08,28,24,95,75,0,2.61
4.08.08,29,25,69,81,17.2,2.41
5.08.08,29,25,69,72,12.2,3.5
6.08.08,29,25,100,86,0,0.87
7.08.08,27,25,96,82,5.2,2.59
8.08.08,28,24,87,87,5.6,1.25
9.08.08,25,24,96,92,5.2,1.85
10.08.08,26,25,98,87,36.2,1.4
11.08.08,27,25,96,92,0.8,0
12.08.08,26,25,92,79,0,2.61
13.08.08,28,26,88,78,0,2.61
14.08.08,28,25,92,71,0.4,2.61
15.08.08,29,25,84,78,0,3.04
16.08.08,27,25,96,89,0,3.04
17.08.08,28,24,96,72,0,3.48
18.08.08,30,26,84,78,0,4.34
19.08.08,30,25,84,81,0,4.34
20.08.08,29,26,96,71,0,3.48
21.08.08,29,23,96,69,0,4.34
22.08.08,30,22,96,66,0,4.34
23.08.08,30,23,93,66,0,4.34
24.08.08,30,24,88,75,0,3.91
25.08.08,31,25,93,82,0,3.04
26.08.08,29,24,96,66,0,3.48
27.08.08,31,26,97,77,0,3.48
28.08.08,29,24,96,75,0,3.04
29.08.08,28,24,95,63,0,4.34
30.08.08,31,24,88,67,0,4.78
31.08.08,32,24,88,56,0,5.22
,28.45,24.48,91.61,76.94,148.4,3.26
01.09.08,33,24,92,69,0,6.09
02.09.08,32,25,88,79,3,2.13
03.09.08,32,24,92,65,0,5.22
04.09.08,33,25,96,66,0,5.22
05.09.08,33,25,92,67,0,5.22
06.09.08,33,24,92,69,8.8,4.45
07.09.08,32,24,93,79,0,4.34
08.09.08,31,25,95,80,0,3.04
09.09.08,32,24,88,62,6,5.22
10.09.08,32,25,95,72,5.8,4.06
11.09.08,30,24,93,77,0,4.34
12.09.08,31,25,89,79,0,5.22
13.09.08,32,24,86,85,0,4.78
14.09.08,30,24,88,73,0,3.91
15.09.08,32,25,86,72,0,4.34
16.09.08,32,24,93,79,0,4.34
17.09.08,32,24,96,64,0,5.22
18.09.08,33,25,92,79,12.2,4.37
19.09.08,30,24,95,85,3.2,1.87
20.09.08,29,25,96,93,7.2,4.98
21.09.08,25,22,95,67,0,3.48
22.09.08,31,23,93,73,0,3.48
23.09.08,32,22,90,71,0,4.34
24.09.08,31,23,88,69,0,4.78
25.09.08,32,22,88,70,0,5.22
26.09.08,32,23,88,69,0,4.34
27.09.08,32,21,96,72,0,5.22
28.09.08,31,21,91,75,0,4.78
29.09.08,31,21,96,66,0,4.34
30.09.08,32,22,81,67,0,4.78
,31.43,23.63,91.43,73.1,46.2,4.44
01.10.08,32,23,85,71,0,1.74
02.10.08,33,24,88,70,1.8,3.91
03.10.08,33,24,88,67,0,2.61
04.10.08,33,23,87,71,7.6,4.43
05.10.08,33,23,87,75,0,6.09
06.10.08,33,23,84,78,0,4.34
07.10.08,33,25,92,70,7.2,0
08.10.08,34,23,96,56,0,3.04
09.10.08,31,22,91,67,0,4.48
10.10.08,33,22,83,73,0,5.22
11.10.08,33,21,83,55,0,6.09
12.10.08,34,20,75,57,0,4.78
13.10.08,34,19,76,54,0,4.34
14.10.08,35,18,79,46,0,4.78
15.10.08,35,20,76,46,0,6.09
16.10.08,34,20,70,43,0,4.34
17.10.08,34,18,78,51,0,4.34
18.10.08,32,18,78,51,0,5.22
19.10.08,32,18,73,59,0,4.43
20.10.08,32,16,78,60,0,4.43
21.10.08,32,16,66,54,0,4.78
22.10.08,31,16,72,45,0,5.22
23.10.08,32,15,72,54,0,5.22
24.10.08,32,16,74,59,0,4.78
25.10.08,32,14,71,55,0,5.22
26.10.08,32,14,75,36,0,4.78
27.10.08,32,14,62,43,0,4.34
28.10.09,32,14,67,46,0,4.78
29.10.08,33,15,66,50,0,3.91
30.10.08,33,15,66,50,0,4.34
31.10.08,33,15,49,48,0,3.91
,32.81,18.84,77,56.77,16.6,4.39
01.11.08,33,14,43,46,0,4.34
02.11.08,32,14,58,48,0,5.22
03.11.08,33,14,65,46,0,4.34
04.11.08,33,14,66,47,0,3.91
05.11.08,33,15,57,53,0,4.34
06.11.08,33,16,63,55,0,4.78
07.11.08,32,14,60,46,0,3.48
08.11.08,30,14,74,59,0,3.48
09.11.08,30,14,74,59,0,3.48
10.11.08,30,16,72,54,0,3.48
11.11.08,30,17,74,59,0,3.48
12.11.08,30,19,73,55,0,3.48
13.11.08,30,18,81,59,0,3.48
14.11.08,30,17,72,65,0,4.34
15.11.08,29,17,80,59,0,3.48
16.11.08,29,14,81,57,0,3.91
17.11.08,26,17,66,61,0,5.22
18.11.08,29,21,59,68,11.8,3.57
19.11.08,30,19,96,75,0,2.61
20.11.08,24,18,90,82,9.2,2.24
21.11.08,30,19,94,73,0,4.34
22.11.08,28,15,80,66,0,3.91
23.11.08,25,12,72,75,0,2.61
24.11.08,26,11,81,68,0,3.48
25.11.08,27,10,70,64,0,4.34
26.11.08,29,11,77,75,0,5.22
27.11.08,28,10,82,50,0,4.34
28.11.08,27,10,70,44,0,5.22
29.11.08,27,13,78,68,0,3.91
30.11.08,25,15,74,55,0,3.48
,29.27,14.93,72.73,59.7,21,3.92
01.12.08,29,12,78,51,0,2.61
02.12.08,28,14,83,55,0,3.48
03.12.08,28,12,88,65,0,3.04
04.12.08,28,13,78,53,0,4.34
05.12.08,30,15,79,54,0,5.22
06.12.08,30,14,88,53,0,4.34
07.12.08,29,12,88,46,0,4.34
08.12.08,29,12,78,58,0,4.34
09.12.08,30,13,82,53,0,4.34
10.12.08,30,14,79,57,0,3.04
11.12.08,30,16,84,66,0,2.61
12.12.08,30,16,83,68,0,2.61
13.12.08,30,16,80,65,0,3.04
14.12.08,29,16,82,71,0,3.48
15.12.08,28,15,87,63,0,3.48
16.12.08,28,15,91,57,0,3.04
17.12.08,27,13,79,48,0,4.34
18.12.08,28,11,77,53,0,3.91
19.12.08,28,13,78,75,0,4.34
20.12.08,28,15,93,57,0,2.17
21.12.08,23,16,94,69,0,1.74
22.12.08,24,16,96,84,0,2.61
23.12.08,23,16,93,79,0,2.61
24.12.08,23,11,92,72,0,2.17
25.12.08,24,9,92,79,0,2.61
26.12.08,24,9,97,68,0,3.04
27.12.08,25,10,87,77,0,2.17
28.12.08,26,9,87,68,0,3.04
29.12.08,25,9,97,63,0,2.61
30.12.08,25,9,87,50,0,3.04
31.12.08,27,10,92,68,0,3.48
,27.29,12.94,86.1,62.74,0,3.27
