Date,Max.,Min.,Morn,Eve.,Daily,Rainy Days ,PE,cloud cover
Average,43.3,18.4,55,5,8.2,1,8.58,0
1.05.14,42.7,24.8,33,6,0,0,6.8,
2.05.14,42.9,24,34,8,0,0,10.43,
3.05.14,42.9,22.4,25,8,0,0,11.3,
4.05.14,40,22.4,26,11,0,0,7.82,
5.05.14,39.3,25.9,26,11,0,0,8.69,
6.05.14,39.9,24,25,10,0,0,9.56,
7.05.14,39.4,22,25,9,0,0,10.86,
8.05.14,40.9,24,24,12,0,0,9.56,
9.05.14,39.7,25,24,12,0,0,9.56,
10.05.14,39.9,26.8,56,18,0,0,10.43,
11.05.14,39.5,22,50,16,0,0,10.86,
12.05.14,40.1,22.3,45,16,0,0,9.56,
13.05.14,38.7,23.4,40,15,0,0,8.69,
14.05.14,39.5,23.8,40,15,0,0,9.56,
15.05.14,37.9,22.6,41,14,0,0,8.26,
16.05.14,38.5,21,40,12,0,0,7.82,
17.05.14,38.4,21.2,39,11,0,0,8,
18.05.14,40.2,22.6,37,10,0,0,9.99,
19.05.14,41.9,25.4,34,11,0,0,10.86,
20.05.14,42,25.8,34,11,0,0,10.86,
21.05.14,43.1,26,33,10,0,0,11.3,
22.05.14,42.2,27.8,32,10,0,0,11.3,
23.05.14,42.9,22.4,24,11,0,0,10.86,
24.05.14,43.7,22.4,39,8,0,0,11.3,
25.05.14,40.2,28,39,8,0,0,11.73,
26.05.14,40.5,28.4,39,10,0,0,11.3,
27.05.14,41.5,27,39,10,0,0,10.86,
28.05.14,41.9,26.8,40,11,0,0,10.43,
29.05.14,44.5,26,40,12,0,0,9.99,
30.05.14,44.8,25.4,34,10,0,0,8.69,
31.05.14,44,26.8,45,10,0,0,12.17,
Average,44.8,18.4,56,6,0,0,9.98,0
1.06.14,44.2,25.8,48,8,0,0,10.44,
2.06.14,44,26.4,48,9,2.4,1,6.96,
3.06.14,44.3,27,56,10,0,0,9.57,
4.06.14,43.3,27.2,58,9,0,0,10,
5.06.14,44.7,27.2,67,11,0,0,11.74,
6.06.14,44.3,28.1,58,10,0,0,10.87,
7.06.14,46.2,29.6,43,11,0,0,17.83,
8.06.14,43.9,28,44,12,0,0,11.35,
9.06.14,45.7,28,45,11,0,0,15.66,
10.06.14,40.7,29.4,44,11,0,0,9.53,
11.06.14,43.9,27.8,44,9,0,0,11.31,
12.06.14,40.7,28.7,,,6.4,1,6.09,
13.06.14,38,22,,,0,0,8.7,
14.06.14,39,26.6,,,0,0,13.05,
15.06.14,38.5,24.4,,,44.6,1,9.8,
16.06.14,37.6,24.4,,,9.6,1,1.77,
17.06.14,38.1,24.4,,,0,0,8.7,
18.06.14,38.8,26.6,,,16.4,1,4.22,
19.06.14,37.6,20.2,,,6.4,1,4.66,
20.06.14,34.2,23.9,,,0,0,6.09,
21.06.14,36.6,24.4,,,0,0,9.57,
22.06.14,37.5,25.6,,,0,0,8.7,
23.06.14,38.4,26.4,,,0,0,10.44,
24.06.14,38.2,25.3,,,0,0,11.31,
25.06.14,38.9,25.4,,,0,0,12.61,
26.06.14,38.5,25.6,,,0,0,11.31,
27.06.14,39.2,26,,,0,0,13.05,
28.06.14,38,24.1,,,10.2,1,3.24,
29.06.14,37.6,20.4,,,0,0,10.44,
30.06.14,39.4,24,,,0,0,11.31,
Average,46.2,20.2,67,8,96,7,9.68,0
1.07.14,38.3,25,57,32,0,0,13.05,
2.07.14,37.9,25,58,25,0,0,11.31,
3.07.14,38.5,24.5,58,28,0,0,12.18,
4.07.14,38.8,25.8,57,32,0,0,13.05,
5.07.14,38.2,26.9,54,31,0,0,13.92,
6.07.14,37.5,26,69,38,21,1,3.6,
7.07.14,34.5,22,80,70,5.3,1,3.56,
8.07.14,35.1,22.6,74,52,0,0,12.18,
9.07.14,34.5,24.4,72,45,0,0,13.05,
10.07.14,38.8,25.8,66,30,0,0,13.92,
11.07.14,36.9,24,58,29,0,0,14.35,
12.07.14,36.5,25,58,36,8,1,3.65,
13.07.14,35.4,24.5,64,32,41.8,1,8.74,
14.07.14,32.6,21.4,88,44,31.2,1,6.84,
15.07.14,36,21,80,59,36.4,1,10.3,
16.07.14,27,22.2,88,63,22.4,1,5,
17.07.14,27,21,88,85,8.4,1,2.31,
18.07.14,31,21,88,76,0,0,4.35,
19.07.14,30.7,23,85,68,13.6,1,4.9,
20.07.14,31,21,85,61,15.4,1,4.09,
21.07.14,29.4,20.8,84,49,32.6,1,8.24,
22.07.14,28.3,19.8,89,55,4.4,1,0.92,
23.07.14,25.2,21.8,94,55,60.4,1,11.68,
24.07.14,27,20.3,90,55,9.6,1,3.51,
25.07.14,23.6,19.2,90,55,0,0,1.74,
26.07.14,26.5,19.9,95,54,10.6,1,1.03,
27.07.14,25.7,19.2,88,54,0,0,4.35,
28.07.14,29.2,21.2,88,65,4.6,1,2.86,
29.07.14,28.4,20.2,86,55,60.6,1,8.4,
30.07.14,29.9,20.6,88,55,0,0,8.7,
31.07.14,32.2,22,93,63,0,0,4.35,
Average,38.8,19.2,95,25,386.3,17,7.42,0
01.08.14,31.4,22.8,92,69,0,0,6.09,
02.08.14,32,22.8,95,65,0,0,5.22,
03.08.14,32.2,20,96,80,0,0,6.09,
04.08.14,29.2,22,94,72,5.4,1,5.22,
05.08.14,26.8,21.8,95,75,30.2,1,1.49,
06.08.14,26.5,21.3,95,68,33.4,1,2.95,
07.08.14,25.1,20.2,92,66,10.2,1,0.63,
08.08.14,28.4,20.8,90,62,11,1,0.56,
09.08.14,30.1,21,92,59,0,0,4.35,
10.08.14,31.2,21.2,88,58,0.9,1,7.83,
11.08.14,29.7,22,89,64,0,0,8.7,
12.08.14,31,22.8,87,61,5,1,0.21,
13.08.14,29.5,20,88,59,0,0,5.22,
14.08.14,29.5,19.6,94,67,0,0,6.09,
15.08.14,29.5,19.5,92,65,0,0,9.57,
16.08.14,30.2,21.1,92,64,0,0,6.09,
17.08.14,31.6,22,92,63,0,0,8.7,
18.08.14,31.3,20.8,88,62,0,0,10.44,
19.08.14,32.4,21.2,83,57,0,0,11.31,
20.08.14,34.4,22.2,82,54,0,0,9.57,
21.08.14,35.5,23.2,86,53,1.2,1,4.35,
22.08.14,37,23,86,64,2,1,4.35,
23.08.14,35.4,22.8,88,63,3,1,4.35,
24.08.14,32.5,22,88,74,0,0,1.74,
25.08.14,35,22.8,80,45,0,0,4.35,
26.08.14,35.7,22.6,81,50,0,0,4.78,
27.08.14,34.1,19,87,52,0,0,4.35,
28.08.14,34.3,22,79,41,0,0,4.35,
29.08.14,31.4,23.2,68,41,27.4,1,1.3,
30.08.14,32.5,20,80,40,5.4,1,2.79,
31.08.14,31.5,22.3,83,47,0,0,1.79,
Average,37,19,96,40,135.1,12,4.99,0
01.09.14,31.6,20.6,87,60,12.4,1,2.83,
02.09.14,32.7,17,90,59,23.2,1,4.06,
03.09.14,36.4,21,87,62,3.2,1,1.46,
04.09.14,30.8,21.8,93,54,0,0,2.61,
05.09.14,31.5,19.6,92,55,0,0,1.74,
06.09.14,30.4,22.4,93,55,5.8,1,2.32,
07.09.14,30.2,20,90,66,7.6,1,2.38,
08.09.14,29.8,21.8,97,86,170.6,1,0.53,
09.09.14,31.2,21.6,97,77,5.2,1,2.59,
10.09.14,26.9,18.4,98,77,6.9,1,2.55,
11.09.14,26.1,20.4,97,81,1.4,1,0.34,
12.09.14,24.9,19.4,98,78,0,0,2.61,
13.09.14,29.9,21.3,97,55,0,0,3.48,
14.09.14,31.9,21.4,92,55,0,0,1.97,
15.09.14,31.6,21.4,92,52,3,1,0.39,
16.09.14,30.9,21,91,49,3.6,1,0.99,
17.09.14,30.9,19.8,90,54,12.9,1,4.2,
18.09.14,30.6,17.4,90,57,1.4,1,0.53,
19.09.14,32.7,20.4,88,57,25.8,1,7.53,
20.09.14,32.9,20.5,87,54,0,0,3.48,
21.09.14,32.9,21,85,53,1.2,1,1.41,
22.09.14,31.2,21,86,49,8.9,1,1.94,
23.09.14,33.1,21,89,48,0,0,1.74,
24.09.14,32.9,20.4,84,46,0,0,4.35,
25.09.14,33.3,19.8,80,43,0,0,3.48,
26.09.14,34.3,19.8,78,38,0,0,3.91,
27.09.14,35,19.5,80,35,0,0,3.48,
28.09.14,35.5,20.4,82,34,0,0,3.48,
29.09.14,34.9,20,77,24,0,0,4.35,
30.09.14,35.8,19.8,52,23,0,0,4.35,
Average,36.4,17,52,86,293.1,16,2.7,0
01.10.14,35.7,19.4,69,26,0,0,4.35,
02.10.14,35.7,19.4,60,27,0,0,3.48,
03.10.14,36.1,19,62,28,0,0,3.48,
04.10.14,35.7,19.6,63,30,8.9,1,4.53,
05.10.14,36,21,61,31,0,0,2.61,
06.10.14,35.3,20.8,59,26,0,0,4.35,
07.10.14,34.8,20.3,55,22,6,1,2.52,
08.10.14,36.1,21.2,68,30,0,0,3.48,
09.10.14,34.8,20.2,75,37,0,0,4.35,
10.10.14,34.9,19.6,56,33,0,0,5.22,
11.10.14,34.2,20,66,23,0,0,3.48,
12.10.14,34.1,19,66,18,0,0,3.48,
13.10.14,34,16.4,57,18,0,0,4.35,
14.10.14,32.8,20.8,65,33,0,0,3.48,
15.10.14,30.2,19.8,65,34,0,0,5.22,
16.10.14,34.5,19.6,58,31,0,0,3.48,
17.10.14,34.8,19.4,58,31,0,0,4.35,
18.10.14,34.8,20.3,48,23,0,0,4.35,
19.10.14,34.9,22,49,22,0,0,3.48,
20.10.14,32.7,21.6,43,28,0,0,3.48,
21.10.14,33.1,20.8,40,25,0,0,4.35,
22.10.14,32.2,18.2,34,21,0,0,5.22,
23.10.14,34.5,16,54,23,0,0,4.35,
24.10.14,34.5,18.2,52,20,0,0,2.61,
25.10.14,34.5,17,56,20,0,0,2.61,
26.10.14,33.8,19,58,20,0,0,2.61,
27.10.14,28.8,16.8,55,21,0,0,2.61,
28.10.14,31.4,16.4,52,23,0,0,1.74,
29.10.14,30.8,16,48,23,0,0,1.74,
30.10.14,30,13.6,66,21,0,0,2.61,
31.10.14,33.2,16.4,77,20,0,0,4.35,
Average,36.1,13.6,77,18,14.9,2,3.62,0
01.11.14,34.7,14.8,80,24,0,0,5.22,
02.11.14,34.5,16,84,26,0,0,5.22,
03.11.14,33.2,16,66,26,0,0,4.35,
04.11.14,33.7,16,66,25,0,0,2.61,
05.11.14,34.5,14,48,23,0,0,2.61,
06.11.14,34,15,54,22,0,0,2.61,
07.11.14,33.7,14.4,52,23,0,0,2.61,
08.11.14,33.7,14,55,22,0,0,2.61,
09.11.14,33,14.4,39,21,0,0,2.61,
10.11.14,32.2,15.4,37,21,0,0,2.61,
11.11.14,32.4,14.6,37,24,0,0,1.74,
12.11.14,33.2,18.6,40,33,0,0,0.87,
13.11.14,32.9,19.2,50,24,0,0,3.48,
14.11.14,31.1,18,44,22,0,0,3.48,
15.11.14,33.6,17.8,66,22,0,0,5.22,
16.11.14,28.8,19,70,37,0,0,3.48,
17.11.14,31.5,19,75,60,0,0,4.35,
18.11.14,31.1,16,63,38,0,0,4.35,
19.11.14,31,11.6,62,35,0,0,3.48,
20.11.14,31.2,12.6,62,15,0,0,3.48,
21.11.14,31,10,66,15,0,0,4.35,
22.11.14,32.2,9.2,64,16,0,0,1.74,
23.11.14,31,11,68,20,0,0,1.74,
24.11.14,31,11.8,57,20,0,0,1.74,
25.11.14,31,11.2,55,23,0,0,1.74,
26.11.14,31.3,10.8,57,24,0,0,1.74,
27.11.14,31.4,10.2,44,17,0,0,1.74,
28.11.14,31.9,10,34,15,0,0,2.77,
29.11.14,33,11.6,42,17,0,0,2.61,
30.11.14,32.7,11.8,45,19,0,0,1.74,
Average,34.7,9.2,84,15,0,0,2.96,0
01.12.14,32.9,10.2,44,17,0,0,1.74,
02.12.14,31.6,11,55,18,0,0,1.74,
03.12.14,31.6,11,55,22,0,0,2.61,
04.12.14,30.7,10.4,55,23,0,0,1.74,
05.12.14,30.7,9.2,45,21,0,0,1.3,
06.12.14,30.1,10.2,55,18,0,0,2.61,
07.12.14,29.7,10,55,18,0,0,2.61,
08.12.14,29.3,8.9,53,19,0,0,2.61,
09.12.14,30,13,56,17,0,0,3.48,
10.12.14,30.7,11.4,59,19,0,0,2.61,
11.12.14,30.7,11.2,65,22,0,0,2.61,
12.12.14,30,10,60,24,0,0,0.87,
13.12.14,29.7,9.8,67,22,20,1,0.86,
14.12.14,25.3,13.8,64,14,12.6,1,0.42,
15.12.14,24.3,16.4,67,51,0,0,1.74,
16.12.14,23.7,11,62,42,0,0,2.61,
17.12.14,22.9,8.6,60,39,0,0,1.74,
18.12.14,21.8,6.6,73,29,0,0,1.3,
19.12.14,25,10.2,75,29,0,0,1.3,
20.12.14,25.3,10.8,78,26,0,0,1.3,
21.12.14,25.6,11,77,25,0,0,1.3,
22.12.14,25.8,8,74,21,0,0,1.3,
23.12.14,27.9,8.4,74,22,0,0,0.87,
24.12.14,26,9,71,22,0,0,0.87,
25.12.14,27.7,8.4,64,22,0,0,1.74,
26.12.14,27.5,8.4,69,23,0,0,1.74,
27.12.14,25.5,7.2,74,24,0,0,0.87,
28.12.14,25,8,74,26,0,0,1.74,
29.12.14,25.6,5.1,73,29,0,0,2.17,
30.12.14,23.9,5.6,68,24,0,0,1.74,
31.12.14,24.4,7.1,77,28,0,0,1.3,
Average,32.9,5.1,78,14,32.6,2,1.72,0
