Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,,,,,,,,,
06.03.20,29,11,,,0,0,2.17,,,,,,,,,
07.03.20,28,11,,,0,0,2.6,,,,,,,,,
08.03.20,28,10.5,,,0,0,2.6,,,,,,,,,
09.03.20,28,10,,,0,0,2.6,,,,,,,,,
10.03.20,27,11,,,0,0,2.17,,,,,,,,,
11.03.20,29,11.5,,,0,0,2.6,,,,,,,,,
12.03.20,29.5,13,,,0,0,3.04,,,,,,,,,
13.03.20,29.5,12,,,0,0,3.04,,,,,,,,,
14.03.20,29,10.5,,,0,0,2.6,,,,,,,,,
15.03.20,28.5,9.5,,,0,0,2.6,,,,,,,,,
16.03.20,28.5,9,,,0,0,2.6,,,,,,,,,
17.03.20,31,11.5,,,0,0,3.04,,,,,,,,,
18.03.20,33,15,,,0,0,3.91,,,,,,,,,
19.03.20,35,17,,,3.1,1,1.74,,,,,,,,,
20.03.20,31.5,16,,,0,0,4.34,,,,,,,,,
21.03.20,33,13,,,0,0,5.21,,,,,,,,,
22.03.20,34,12.5,,,0,0,4.77,,,,,,,,,
23.03.20,35,12,,,0,0,5.21,,,,,,,,,
24.03.20,36,16.5,,,0,0,5.64,,,,,,,,,
25.03.20,,17,,,0,0,6.94,,,,,,,,,
26.03.20,,18,,,0.5,1,5.64,,,,,,,,,
27.03.20,,20,,,0,0,5.21,,,,,,,,,
28.03.20,,17.5,,,8,1,0,,,,,,,,,
29.03.20,,17,,,0,0,5.21,,,,,,,,,
30.03.20,,18,,,0,0,5.64,,,,,,,,,
31.03.20,,17.5,,,0,0,6.08,,,,,,,,,
Average,36,9,0,0,12.8,4,3.49,,,,,,,,,
01.04.20,,18,,,0,0,6.94,,,,,,,,,
02.04.20,,15,,,0,0,6.08,,,,,,,,,
03.04.20,,17,,,0,0,7.81,,,,,,,,,
04.04.20,,19,,,0,0,6.08,,,,,,,,,
05.04.20,,17,,,0,0,7.81,,,,,,,,,
06.04.20,,17,,,0,0,6.51,,,,,,,,,
07.04.20,,18,,,0,0,5.64,,,,,,,,,
08.04.20,,17,,,0,0,6.94,,,,,,,,,
09.04.20,,17.5,,,0,0,7.38,,,,,,,,,
10.04.20,,19.5,,,0,0,6.94,,,,,,,,,
11.04.20,,19,,,0,0,7.38,,,,,,,,,
12.04.20,,18,,,0,0,6.08,,,,,,,,,
13.04.20,,18.5,,,0,0,6.94,,,,,,,,,
14.04.20,,19,,,0,0,6.94,,,,,,,,,
15.04.20,,21.5,,,0,0,5.21,,,,,,,,,
16.04.20,,21.5,,,0,0,7.81,,,,,,,,,
17.04.20,,22,,,0,0,8.25,,,,,,,,,
18.04.20,,23,,,0,0,5.21,,,,,,,,,
19.04.20,,21.5,,,2.8,1,3.04,,,,,,,,,
20.04.20,,21.5,,,0,0,7.38,,,,,,,,,
21.04.20,,18,,,0,0,7.81,,,,,,,,,
22.04.20,,19.5,,,0,0,8.25,,,,,,,,,
23.04.20,,21,,,0,0,9.55,,,,,,,,,
24.04.20,,21.5,,,0,0,8.68,,,,,,,,,
25.04.20,,20.5,,,0,0,8.68,,,,,,,,,
26.04.20,,22,,,0,0,9.11,,,,,,,,,
27.04.20,,24,,,0,0,9.55,,,,,,,,,
28.04.20,,22,,,0,0,9.55,,,,,,,,,
29.04.20,,20.5,,,0,0,8.68,,,,,,,,,
30.04.20,41,22,,,0,0,6.94,,,,,,,,,
Average,41,15,0,0,2.8,1,7.31,,,,,,,,,
1.05.20,42,22.5,,,0,0,7.38,,,,,,,,,
2.05.20,43,23,,,0,0,9.11,,,,,,,,,
3.05.20,42.5,23,,,0,0,9.11,,,,,,,,, 
4.05.20,43,23,,,0,0,9.98,,,,,,,,,
5.05.20,42,22,,,0,0,9.55,,,,,,,,,
6.05.20,43,23,,,0,0,9.98,,,,,,,,,
7.05.20,43.5,21,,,1.3,1,8.68,,,,,,,,,
8.05.20,44,24.5,,,0,0,9.98,,,,,,,,,
9.05.20,43.5,24.5,,,0,0,10.42,,,,,,,,,
10.05.20,41.5,26,,,0,0,11.28,,,,,,,,,
11.05.20,38,22,,,1.5,1,9.98,,,,,,,,,
12.05.20,39,25,,,0,0,9.55,,,,,,,,,
13.05.20,41,26,,,0,0,9.11,,,,,,,,,
14.05.20,41.5,24.5,,,0,0,7.38,,,,,,,,,
15.05.20,4,25.5,,,0,0,10.85,,,,,,,,,
16.05.20,42,24.5,,,0,0,9.11,,,,,,,,,
17.05.20,42,24,,,0,0,8.25,,,,,,,,,
18.05.20,42.5,23.5,,,0,0,7.81,,,,,,,,,
19.05.20,41,21.5,,,0,0,9.55,,,,,,,,,
20.05.20,43,21,,,0,0,9.98,,,,,,,,,
21.05.20,43.5,19.5,,,0,0,10.42,,,,,,,,,
