Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE
6.04.10,39.7,19.6,33,9,0,0,7.83
7.04.10,40.1,20.2,38,9,0,0,9.56
8.04.10,40.7,20.5,36,8,0,0,11.3
9.04.10,40.2,20.5,42,11,0,0,9.56
10.04.10,40.7,21.7,35,12,0,0,6.96
11.04.10,40,24.2,35,11,0,0,9.56
12.04.10,40.2,21.7,31,13,0,0,9.56
13.04.10,40.6,22,32,11,0,0,9.56
14.04.10,40.6,21.5,36,11,0,0,9.99
15.04.10,41.4,21.4,29,9,0,0,11.3
16.04.10,42.8,23.5,29,7,0,0,15.21
17.04.10,43.9,26.9,29,7,0,0,13.03
18.04.10,43.1,26.7,37,9,0,0,9.56
19.04.10,41.5,26.7,33,14,0,0,11.3
20.04.10,40,22.7,40,13,0,0,13.9
21.04.10,40.2,26.7,35,12,0,0,13.9
22.04.10,40,24.8,27,15,0,0,16.51
23.04.10,39.9,24,28,11,0,0,6.96
24.04.10,40.5,20,22,7,0,0,6.96
25.04.10,40.4,23,24.3,10,0,0,11.3
26.04.10,39.7,25.2,25,9,0,0,12.17
27.04.10,41.8,26.7,22,10,0,0,12.6
28.04.10,42.2,27.6,24,11,0,0,12.6
29.04.10,41.7,27,26,13,0,0,13.9
30.04.10,38.1,27.8,43,17,0,0,9.56
Average,43.9,15.5,53,7,0,0,10.62
1.05.10,34.9,30.4,29,21,0,0,7.83
2.05.10,36.1,26.5,37,21,0,0,6.96
3.05.10,39.8,26.1,33,15,0,0,9.56
4.05.10,40.5,29.1,36,14,0,0,11.3
5.05.10,39.9,25.5,41,19,0,0,13.03
6.05.10,41.7,27.2,35,13,0,0,16.08
7.05.10,42.4,29.1,27,12,0,0,16.08
8.05.10,41.7,25.1,26,16,0,0,12.6
9.05.10,40.3,25.5,28,14,0,0,13.03
10.05.10,41.2,28.8,24,14,0,0,12.6
11.05.10,41.9,24.6,22,11,0,0,16.08
12.05.10,41.8,28.1,23,12,0,0,12.17
13.05.10,43.7,29,23,12,0,0,15.64
14.05.10,43,29,47,31,0,0,13.03
15.05.10,43,27,41,29,0,0,13.9
16.05.10,43,27,40,25,0,0,14.77
17.05.10,43,30,49,30,0,0,15.21
18.05.10,44,32,40,19,0,0,13.9
19.05.10,44.6,31,39,22,0,0,12.17
20.05.10,44,29,55,30,0,0,13.09
21.05.10,44,32,56,31,0,0,12.17
22.05.10,43,31,50,30,0,0,13.03
23.05.10,45,31,41,27,0,0,13.9
24.05.10,45,29,46,15,0,0,18.25
25.05.10,46,34,45,20,0,0,20.42
26.05.10,45,33,57,22,0,0,19.12
27.05.10,43,31,66,35,0,0,14.77
28.05.10,41,32,60,35,0,0,14.77
29.05.10,42,32,60,36,0,0,15.64
30.05.10,42,29,56,39,0,0,16.51
31.05.10,42,29,49,27,0,0,13.03
Average,46,24.6,66,11,0,0,13.89
1.06.10,42,31,47,28,0,0,13.9
2.06.10,42,29,51,32,0,0,15.64
3.06.10,42,29,63,40,0,0,13.9
4.06.10,40,31,56,42,0,0,14.77
5.06.10,40,31,56,42,0,0,14.77
6.06.10,40,31,55,34,0,0,14.77
7.06.10,40,30,56,42,0,0,15.64
8.06.10,38,28,67,42,0,0,13.03
9.06.10,39,26,55,44,0,0,12.17
10.06.10,39,28,48,28,0,0,14.77
11.06.10,42,29,35,27,0,0,15.64
12.06.10,43,28,40,26,0,0,15.64
13.06.10,44,31,41,29,0,0,16.51
14.06.10,42,33,56,45,0,0,12.17
15.06.10,40,29,95,53,0,0,9.99
16.06.10,37,25,95,70,0,0,4.34
17.06.10,37,27,73,60,0,0,6.52
18.06.10,34,27,75,27,0,0,7.83
19.06.10,34,27,75,49,0,0,11.3
20.06.10,40,30,62,45,0,0,13.03
21.06.10,40,29,71,42,40,1,22.6
22.06.10,27,25,65,35,0,0,6.09
23.06.10,36,28,74,53,2,1,7.89
24.06.10,37,25,68,45,0,0,9.99
25.06.10,34,27,62,52,0,0,6.09
26.06.10,35,28,69,43,0,0,9.99
27.06.10,39,30,73,37,2.4,1,7.83
28.06.10,41,26,78,44,0,0,8.69
29.06.10,35,27,78,44,0,0,9.56
30.06.10,37,28,69,43,0.8,1,8.26
Average,44,25,95,26,45.2,4,11.78
1.07.10,37,26,84,70,0,0,4.34
2.07.10,32,27,69,45,25,1,10.21
3.07.10,36,25,98,72,65.4,1,0
4.07.10,31,24,93,85,11.8,1,0.49
5.07.10,28,26,92,61,0,0,6.09
6.07.10,28,26,84,85,8,1,3.65
7.07.10,33,25,95,66,24.4,1,3.52
8.07.10,31,25,100,100,4,1,0.52
9.07.10,29,26,84,72,2,1,1.13
10.07.10,28,25,89,74,0,0,6.09
11.07.10,33,27,89,77,0,0,4.34
12.07.10,32,26,92,58,4.4,1,0.05
13.07.10,31,26,89,55,0,0,5.22
14.07.10,33,26,95,55,13.2,1,1.51
15.07.10,33,25,95,77,6.8,1,2.45
16.07.10,28,25,92,71,0,0,6.96
17.07.10,29,26,92,54,0,0,5.22
18.07.10,34,27,87,47,0,0,6.09
19.07.10,34,26,85,51,0,0,6.96
20.07.10,37,28,87,54,0,0,6.09
21.07.10,33,27,89,55,4,1,3.48
22.07.10,32,26,95,66,0,0,5.22
23.07.10,30,27,92,66,0,0,3.48
24.07.10,30,27,89,71,0,0,2.61
25.07.10,29,25,92,77,19.8,1,2.4
26.07.10,24,24,95,62,7.6,1,4.12
27.07.10,27,25,92,71,0,0,5.22
28.07.10,30,27,89,66,9,1,1.83
29.07.10,31,26,95,71,12.2,1,1.17
30.07.10,31,27,92,72,52.2,1,5.22
31.07.10,29,25,100,71,23,1,2.99
Average,37,25,100,45,292.8,17,3.83
01.08.10,29,25,96,77,20,1,2.6
02.08.10,27,25,100,71,11.4,1,1.65
03.08.10,28,25,100,92,43.4,1,3.38
04.08.10,30,24,87,77,3.8,1,2.61
05.08.10,27,24,95,85,0,0,2.61
06.08.10,27,24,97,72,120,1,0
07.08.10,30,25,100,77,0,0,5.22
08.08.10,30,24,91,78,4.2,1,0
09.08.10,24,24,96,84,0,0,4.34
10.08.10,27,25,100,78,0,0,8.69
11.08.10,29,26,92,79,0,0,4.78
12.08.10,30,27,97,76,0,0,8.69
13.08.10,30,27,97,70,0,0,8.69
14.08.10,27,25,92,78,0,0,9.99
15.08.10,32,27,96,77,10.2,1,0.63
16.08.10,31,25,100,78,27.9,1,4.41
17.08.10,29,25,87,77,0,0,2.61
18.08.10,30,25,87,100,0,0,2.61
19.08.10,33,26,97,55,0,0,5.22
20.08.10,31,26,87,66,0,0,5.22
21.08.10,28,24,96,70,16.2,1,4.89
22.08.10,28,25,96,77,0,0,2.61
23.08.10,31,25,98,60,0,0,3.48
24.08.10,30,25,87,65,0,0,4.34
25.08.10,30,26,97,71,0,0,3.91
26.08.10,31,25,92,60,0,0,5.34
27.08.10,32,24,92,65,16.4,1,4.34
28.08.10,32,26,86,77,0,0,4.34
29.08.10,32,26,92,76,0.6,1,3.91
30.08.10,29,26,95,70,23.6,1,1.85
31.08.10,30,25,100,77,0,0,0.8
Average,33,24,96,55,297.7,12,3.99
01.09.10,26,24,96,65,0,0,4.34
02.09.10,29,23,96,76,0,0,3.48
03.09.10,27,25,97,60,0,0,2.61
04.09.10,28,25,89,60,5.6,1,2.99
05.09.10,29,24,95,84,85.8,1,0
06.09.10,27,24,95,65,145.2,1,0
07.09.10,26,25,92,84,0,0,3.04
08.09.10,29,25,96,71,72,1,11.1
09.09.10,29,25,92,77,30.8,1,4.72
10.09.10,28,25,96,65,5.6,1,2.99
11.09.10,28,25,89,77,4,1,1.39
12.09.10,29,25,96,71,0,0,4.34
13.09.10,30,24,92,70,0,0,4.34
14.09.10,32,25,92,71,90.2,1,27.56
15.09.10,30,24,92,65,16,1,3.82
16.09.10,29,24,100,71,0,0,3.48
17.09.10,30,24,100,77,0,0,3.48
18.09.10,30,25,89,66,0,0,2.61
19.09.10,29,24,91,59,37.6,1,2.8
20.09.10,28,23,95,65,0,0,2.61
21.09.10,29,26,92,77,0,0,3.48
22.09.10,30,25,91,77,0,0,3.91
23.09.10,31,23,95,65,0,0,3.04
24.09.10,31,23,91,64,0,0,3.48
25.09.10,32,25,89,66,0,0,3.91
26.09.10,31,23,79,64,0,0,3.04
27.09.10,32,23,95,70,0,0,4.78
28.09.10,32,22,83,66,0,0,3.48
29.09.10,32,21,87,65,0,0,4.78
30.09.10,34,20,70,44,0,0,4.34
Average,34,20,100,44,492.8,10,4.33
01.10.10,30,20,87,65,0,0,5.22
02.10.10,31,21,68,66,0,0,4.34
03.10.10,32,22,70,66,0,0,5.22
04.10.10,32,23,89,64,0,0,3.48
05.10.10,32,22,86,77,0,0,4.34
06.10.10,33,21,78,55,0,0,5.22
07.10.10,33,21,79,64,0,0,
08.10.10,33,21,85,65,0,0,3.04
09.10.10,32,23,91,66,0,0,3.48
10.10.10,32,22,88,65,0,0,5.22
11.10.10,33,23,86,77,0,0,2.61
12.10.10,33,23,91,84,0,0,1.74
13.10.10,27,21,91,64,0,0,3.04
14.10.10,29,22,87,64,0,0,3.48
15.10.10,32,20,87,84,0,0,3.48
16.10.10,32,25,96,70,0,0,2.61
17.10.10,32,21,88,66,0,0,3.48
18.10.10,31,23,91,66,0,0,6.09
19.10.10,29,24,95,71,5.4,1,1.06
20.10.10,30,24,92,66,0,0,1.74
21.10.10,31,24,84,77,0,0,2.61
22.10.10,31,24,84,77,0,0,2.61
23.10.10,31,22,91,66,0,0,2.17
24.10.10,33,22,91,70,0,0,4.34
25.10.10,32,23,91,77,0,0,3.04
26.10.10,28,21,92,84,0,0,3.48
27.10.10,28,19,87,65,0,0,3.91
28.10.10,29,21,96,84,0,0,3.48
29.10.10,32,19,84,70,0,0,2.61
30.10.10,28,19,85,77,0,0,3.91
31.10.10,27,18,88,70,0,0,3.04
Average,33,18,96,55,5.4,1,3.36
01.11.10,27,18,80,66,0,0,4.34
02.11.10,29,18,70,86,0,0,3.48
03.11.10,30,18,76,71,0,0,4.34
04.11.10,31,16,85,66,0,0,4.34
05.11.10,31,15,65,70,0,0,3.48
06.11.10,29,15,83,65,0,0,4.34
07.11.10,28,17,88,71,0,0,3.48
08.11.10,29,17,77,66,0,0,2.61
09.11.10,32,20,68,65,0,0,2.61
10.11.10,29,19,68,65,0,0,2.17
11.11.10,30,19,69,66,0,0,2.17
12.11.10,32,22,84,72,0,0,6.96
13.11.10,31.2,21,91,52,0,0,2.61
14.11.10,29,22,76,65,0,0,2.17
15.11.10,31,23,91,76,0,0,5.22
16.11.10,31,23,75,69,0,0,1.74
17.11.10,31,20,82,72,0,0,2.61
18.11.10,31,20,94,87,28.2,1,2.2
19.11.10,24,19,94,68,5,1,0.05
20.11.10,27,20,91,66,21.2,1,2.06
21.11.10,27,15,79,57,0,0,2.61
22.11.10,25,15,77,65,0,0,1.74
23.11.10,25,19,77,66,0,0,3.48
24.11.10,25,18,75,64,0,0,2.61
25.11.10,29,19,82,72,0,0,2.17
26.11.10,28,18,77,65,0,0,2.17
27.11.10,30,21,75,66,0,0,1.74
28.11.10,29,20,82,64,0,0,2.61
29.11.10,32,19,88,70,0,0,3.48
30.11.10,31,18,96,64,0,0,3.48
Average,32,15,96,52,54.4,3,2.97
01.12.10,32,17,78,64,0,0,5.22
02.12.10,28,18,80,64,0,0,5.22
03.12.10,28,16,89,77,0,0,4.34
04.12.10,24,14,84,64,0,0,3.48
05.12.10,25,12,76,72,0,0,3.04
06.12.10,26,11,75,60,0,0,2.61
07.12.10,23,10,74,61,0,0,3.48
08.12.10,24,10,76,60,0,0,1.74
09.12.10,22,11,94,61,0,0,2.17
10.12.10,25,15,89,72,0,0,2.61
11.12.10,27,14,89,60,0,0,2.17
12.12.10,26,14,88,61,0,0,2.61
13.12.10,24,11,72,66,0,0,2.61
14.12.10,24,10,81,61,0,0,2.61
15.12.10,23,9,94,62,0,0,3.04
16.12.10,23,8,86,60,0,0,2.17
17.12.10,24,9,86,61,0,0,1.74
18.12.10,24,8,91,62,0,0,2.61
19.12.10,24,9,81,60,0,0,2.17
20.12.10,23,8,94,62,0,0,2.61
21.12.10,22,7,87,60,0,0,3.04
22.12.10,21,7,86,53,0,0,3.48
23.12.10,24,9,87,60,0,0,2.61
24.12.10,24,11,81,60,0,0,1.74
25.12.10,26,11,77,62,0,0,3.48
26.12.10,25,11,76,61,0,0,2.61
27.12.10,25,11,77,60,0,0,2.61
28.12.10,26,12,88,65,0,0,2.17
29.12.10,25,12,81,61,0,0,3.04
30.12.10,20,12,76,60,0,0,3.48
31.12.10,26,12,86,60,0,0,3.04
Average,32,7,94,53,0,0,2.89
